g_wood_io1 g_wood_io2 g_wood_io3 g_wood_io4 g_wood_io5 g_wood_io6 g_wood_io7 g_wood_io8 g_wood_io9 g_wood_io10 g_wood_io11 g_wood_io12 g_wood_io13 retran_r_io1 retran_r_io2 retran_r_io3 retran_r_io4 retran_r_io5 retran_r_io6 retran_r_io7 retran_r_io8 retran_r_io9 retran_r_io10 retran_r_io11 retran_r_io12 retran_r_io13 hw_sw_io1 hw_sw_io2 hw_sw_io3 hw_sw_io4 hw_sw_io5 hw_sw_io6 hw_sw_io7 hw_sw_io8 hw_sw_io9 hw_sw_io10 hw_sw_io11 hw_sw_io12 hw_sw_io13 knl_io1 knl_io2 knl_io3 knl_io4 knl_io5 knl_io6 knl_io7 knl_io8 knl_io9 knl_io10 knl_io11 knl_io12 knl_io13 a_wl_io1 a_wl_io2 a_wl_io3 a_wl_io4 a_wl_io5 a_wl_io6 a_wl_io7 a_wl_io8 a_wl_io9 a_wl_io10 a_wl_io11 a_wl_io12 a_wl_io13 kaps_roth1 kaps_roth2 kaps_roth3 kaps_roth4 n_inorg_turnover sorp g_root_io retran_l_io l_vg_soil
2.225234e-02 4.754872e-02 2.187674e-02 2.381235e-02 2.894450e-02 3.261418e-03 1.670910e-01 3.191022e-01 4.472395e-01 2.652326e-01 1.921080e-01 3.977444e-02 5.224235e-03 9.984459e-01 7.746034e-01 7.925740e-01 1.839498e-01 3.490892e-01 7.256457e-01 8.519293e-02 6.582266e-01 8.343218e-01 3.411571e-01 7.488538e-01 5.057590e-01 7.308181e-01 6.221128e-01 4.300943e-01 5.162541e-01 7.923307e-01 5.984218e-01 5.824707e-01 1.933626e-01 5.036390e-01 7.150972e-01 4.258049e-01 7.503857e-01 6.949909e-01 5.828766e-01 3.235765e-01 4.845410e-01 4.980499e-01 3.455095e-01 3.380249e-01 2.138708e-01 1.676268e-01 2.403993e-01 4.011753e-01 1.901468e-01 1.556362e-01 1.622361e-01 3.972775e-01 1.190376e+00 4.893623e-01 1.137146e+00 1.290172e+00 5.874873e-01 4.662950e-03 2.845632e-03 8.173475e-03 4.328507e-03 8.724362e-03 8.761649e-03 2.237507e-01 1.177608e-01 9.729194e-08 5.167665e-09 1.173451e-08 5.796025e-10 5.993465e+00 9.377377e+00 7.044857e-01 1.773269e+00 2.539658e-02
2.980417e-02 3.101971e-02 1.202835e-02 1.273077e-02 3.289556e-02 3.027485e-01 1.519417e-01 3.338463e-01 2.848531e-01 4.996603e-01 1.170639e-01 5.037225e-02 2.689548e-03 8.869823e-01 4.562601e-01 9.779702e-01 2.610848e-01 1.488417e-01 1.909068e-02 9.398853e-01 2.699636e-01 4.772142e-01 6.997872e-01 1.846233e-02 6.104498e-01 4.034237e-01 5.681726e-02 1.821548e-01 6.689260e-01 6.730655e-01 6.485241e-01 3.925917e-01 5.703683e-01 4.303036e-01 3.267703e-01 7.230378e-01 8.879918e-01 6.511837e-01 1.326893e-01 2.457866e-01 2.651091e-01 1.471697e-01 3.269918e-01 2.670598e-01 3.767365e-01 2.794792e-01 2.945688e-01 3.246783e-01 3.679407e-01 4.076892e-01 2.121907e-01 2.287332e-01 1.013370e+00 8.588875e-01 1.166766e+00 5.188282e-01 8.449777e-01 6.927883e-03 7.824339e-03 5.047314e-03 4.889968e-03 2.964228e-03 4.067093e-03 3.314300e-01 2.249669e-01 2.745837e-07 7.117924e-09 1.058110e-08 2.007985e-10 6.470747e+00 1.071980e+01 1.884805e+00 8.394159e-01 2.350320e-01
7.346638e-03 2.330534e-02 4.482383e-02 3.473013e-02 5.421361e-03 3.861031e-01 2.134645e-01 2.751964e-01 3.541075e-01 3.433725e-01 4.925711e-01 5.807353e-02 2.832396e-02 7.901232e-01 3.628061e-01 9.594576e-02 4.544701e-01 9.362055e-01 3.497922e-01 4.946305e-01 3.953147e-02 4.070076e-01 5.122978e-01 5.567167e-01 2.885449e-01 5.026130e-01 2.196120e-01 5.512093e-01 6.319220e-01 4.200683e-01 9.583058e-01 4.356937e-01 8.449981e-01 1.966250e-01 6.714827e-01 5.861990e-01 7.073250e-01 8.557943e-02 1.454444e-01 2.523608e-01 4.341124e-01 3.762517e-01 1.205916e-01 2.595741e-01 4.697643e-01 1.947454e-01 3.977019e-01 2.680210e-01 3.719532e-01 1.561990e-01 2.922501e-01 3.126916e-01 1.528570e+00 6.885133e-01 1.534305e+00 6.643215e-01 6.189108e-01 7.462128e-03 3.931103e-03 6.989292e-03 5.620457e-03 4.288764e-03 8.555670e-03 3.594763e-01 1.228141e-01 1.463649e-07 3.958047e-09 7.405719e-09 4.910459e-10 7.575386e+00 1.624974e+01 1.302685e+00 6.792908e-01 4.548164e-01
3.104283e-02 2.473349e-02 4.720418e-02 2.497095e-02 2.921224e-02 1.638815e-01 2.025707e-01 3.602685e-01 2.925256e-01 3.302910e-01 1.483941e-01 3.876859e-02 1.163439e-02 5.018720e-01 1.888720e-01 2.939900e-01 7.774065e-02 7.221718e-01 8.770781e-01 3.074734e-01 3.746503e-01 6.377162e-01 4.777163e-01 3.601691e-01 8.015198e-02 6.147288e-01 6.322670e-01 1.212814e-01 4.400557e-01 2.855884e-01 7.264246e-01 3.555769e-01 9.604013e-01 3.073395e-01 7.540511e-02 3.574286e-01 5.707346e-01 3.675990e-01 4.897404e-02 3.836719e-01 4.412093e-01 3.040513e-01 2.357074e-01 1.380537e-01 1.274406e-01 4.937880e-01 4.409552e-01 2.340131e-01 2.651410e-01 2.709995e-01 2.825074e-01 1.810691e-01 7.656654e-01 1.071367e+00 1.073756e+00 6.300267e-01 6.000075e-01 4.194763e-03 3.895758e-03 2.525746e-03 3.234006e-03 7.872898e-03 5.415606e-03 2.076530e-01 6.963426e-02 2.960200e-07 5.802221e-09 1.617393e-08 3.961491e-10 5.083863e+00 7.845751e+00 9.377229e-01 1.420764e+00 5.410627e-01
2.676882e-02 8.247954e-03 7.957759e-03 8.614986e-03 2.420291e-02 8.267865e-02 3.167708e-01 3.521157e-01 6.285267e-02 1.313244e-01 1.123330e-01 7.119245e-02 5.767187e-02 5.785148e-01 6.003152e-01 2.557180e-01 6.263667e-01 6.218545e-01 5.310503e-01 4.530712e-01 2.567876e-01 7.640971e-01 2.500186e-02 6.765793e-01 4.324983e-01 2.234450e-01 4.337587e-01 5.777286e-01 9.779968e-01 6.644078e-01 5.615875e-01 7.017491e-01 2.154100e-01 8.100264e-01 5.662789e-01 7.509729e-01 7.979229e-01 7.849249e-01 7.663766e-02 2.791628e-01 1.360907e-01 2.973446e-01 2.507636e-01 2.687482e-01 2.187629e-01 3.218921e-01 1.673102e-01 1.724445e-01 4.772279e-01 1.817223e-01 3.198704e-01 3.761510e-01 7.131661e-01 9.183839e-01 1.504494e+00 1.052547e+00 1.091944e+00 4.447103e-03 9.266210e-03 4.010084e-03 8.479281e-03 5.784255e-03 4.304795e-03 2.553703e-01 1.825061e-01 2.425626e-07 9.277516e-09 5.831296e-09 4.970665e-10 3.707222e+00 1.531166e+01 9.964309e-01 6.886537e-01 3.300729e-01
3.825217e-02 3.195131e-02 4.638720e-02 4.303872e-02 1.775759e-02 2.922816e-01 2.390077e-01 3.575466e-01 3.687033e-01 3.861662e-01 2.917627e-01 1.918107e-02 4.773608e-02 2.990628e-01 1.645080e-01 6.844389e-01 8.696626e-01 8.202998e-01 2.464578e-01 4.494420e-01 4.057573e-01 2.276218e-01 8.690165e-01 3.163620e-01 7.475256e-01 4.749411e-01 3.882945e-01 4.545206e-01 2.245602e-01 7.062244e-01 1.006845e-01 7.190743e-01 5.916427e-01 2.668149e-01 8.477746e-01 3.749495e-01 4.301682e-01 1.261591e-02 3.791946e-01 2.428544e-01 2.181689e-01 2.623300e-01 4.853725e-01 2.296174e-01 4.083416e-01 3.516553e-01 3.788947e-01 2.513508e-01 1.366887e-01 4.232160e-01 3.223267e-01 3.235989e-01 8.200975e-01 1.057990e+00 1.399908e+00 7.641449e-01 8.857414e-01 9.268621e-03 8.809925e-03 9.241362e-03 5.310412e-03 4.897108e-03 8.886248e-03 2.658301e-01 9.877643e-02 1.045354e-07 6.636613e-09 1.943037e-08 4.348085e-10 1.645761e+00 9.116716e+00 1.280759e+00 1.243711e+00 3.014624e-01
3.224904e-02 2.320631e-03 3.454619e-02 2.362540e-03 4.759109e-02 1.984269e-01 2.417444e-01 1.228277e-01 1.334847e-01 2.788888e-01 2.159256e-01 6.532074e-02 9.368247e-02 3.409286e-01 8.065730e-01 5.179352e-01 6.373105e-01 2.877172e-01 9.040516e-01 6.987186e-01 5.959742e-01 1.525442e-01 5.570575e-01 6.387390e-01 5.923592e-01 1.961548e-01 4.570873e-01 1.400877e-01 7.073396e-01 8.777495e-01 9.761424e-02 3.632916e-01 7.758360e-01 9.896620e-01 8.027217e-01 3.667192e-01 8.760486e-01 4.791527e-01 4.982291e-01 4.427077e-01 3.211815e-01 2.356821e-01 2.373275e-01 1.800942e-01 3.516018e-01 2.113790e-01 3.297010e-01 3.772921e-01 1.229492e-01 3.551034e-01 4.140383e-01 2.527798e-01 9.869213e-01 1.483375e+00 1.430638e+00 8.940829e-01 8.224217e-01 8.927403e-03 5.010661e-03 4.333685e-03 5.954063e-03 7.548917e-03 7.200239e-03 2.898919e-01 2.237467e-01 1.278178e-07 7.849669e-09 1.820518e-08 4.519126e-10 1.908635e+00 1.218903e+01 6.804770e-01 9.892985e-01 6.308293e-02
1.084767e-02 4.289961e-02 3.362675e-02 1.734527e-02 3.383085e-02 1.945492e-01 1.344601e-01 3.956779e-01 1.513469e-01 1.425089e-01 3.090851e-01 5.530707e-02 3.795285e-02 6.635451e-01 3.135794e-01 4.683262e-01 5.203177e-01 8.454270e-01 9.942631e-01 3.595248e-01 8.726779e-01 1.170032e-02 4.868448e-01 6.592165e-01 3.295326e-01 5.575548e-02 9.599054e-01 1.009546e-01 5.812461e-01 3.117937e-01 7.780348e-01 2.941219e-01 1.892958e-01 2.121886e-01 1.546925e-01 6.796976e-01 6.457001e-01 3.526355e-02 8.777975e-01 4.851021e-01 3.014276e-01 1.222627e-01 4.217247e-01 3.459164e-01 2.675439e-01 2.227541e-01 1.681828e-01 4.462373e-01 3.321343e-01 4.254967e-01 1.470181e-01 3.874939e-01 9.362237e-01 7.069170e-01 1.066855e+00 1.082363e+00 9.737988e-01 3.112693e-03 4.207626e-03 7.600617e-03 3.542450e-03 4.494533e-03 4.615731e-03 3.064079e-01 1.911437e-01 1.513474e-07 8.592602e-09 1.379719e-08 4.150732e-10 7.603634e+00 1.135918e+01 1.365035e+00 1.680225e+00 4.172217e-01
4.049689e-02 1.784615e-02 1.123653e-02 4.656050e-02 2.059651e-02 1.779618e-01 8.663440e-02 1.171756e-01 3.320038e-01 3.988646e-01 1.891920e-01 6.869844e-02 6.074683e-02 9.287353e-01 4.918194e-01 6.829642e-02 9.204031e-01 7.872155e-01 4.687951e-01 5.738737e-01 3.956594e-01 5.561632e-01 5.763835e-01 1.939601e-01 3.342073e-01 9.763505e-01 8.499815e-01 3.064041e-02 4.738987e-01 1.750131e-01 3.526269e-02 9.768005e-02 4.906268e-01 8.339632e-01 1.114940e-01 4.499866e-01 1.809781e-01 4.825744e-01 2.658140e-01 4.905565e-01 2.140008e-01 4.691764e-01 4.025127e-01 1.025039e-01 1.664040e-01 3.886016e-01 1.454613e-01 3.484642e-01 4.988116e-01 1.726772e-01 4.747278e-01 1.531864e-01 1.522363e+00 1.447950e+00 8.019625e-01 7.941937e-01 7.843205e-01 8.691640e-03 2.979356e-03 6.172287e-03 8.663668e-03 5.027598e-03 7.888925e-03 3.435755e-01 9.593397e-02 2.988491e-07 5.699900e-09 9.649939e-09 4.886082e-10 6.994072e+00 4.633562e+00 1.092562e+00 1.000602e+00 7.000457e-01
2.778793e-02 3.758505e-02 4.966342e-02 2.231040e-02 4.669418e-02 4.558316e-01 4.755343e-01 2.130734e-01 2.100320e-01 3.115800e-01 1.991102e-01 9.664354e-02 5.236348e-02 4.760779e-01 9.877972e-01 1.180939e-01 8.287138e-01 2.601130e-01 6.542291e-01 9.966749e-01 5.555803e-01 4.827513e-01 9.210502e-01 7.349059e-02 1.596716e-01 2.099045e-01 8.734435e-01 7.327326e-01 5.536620e-01 3.763389e-01 8.495592e-01 3.137568e-01 6.782129e-01 6.697561e-02 9.836736e-02 4.555194e-01 3.990701e-02 1.586955e-01 1.186461e-02 3.604520e-01 3.131176e-01 3.627083e-01 3.177535e-01 3.817274e-01 1.078947e-01 1.962146e-01 2.048707e-01 3.540185e-01 4.363593e-01 1.197794e-01 3.989666e-01 2.080525e-01 6.116664e-01 8.274963e-01 4.261209e-01 1.181443e+00 1.135368e+00 4.056159e-03 7.365152e-03 7.454118e-03 6.716806e-03 7.997968e-03 7.493187e-03 1.624932e-01 1.139565e-01 1.709300e-07 5.039521e-09 1.746927e-08 1.668484e-10 5.534421e+00 1.762407e+01 1.664440e+00 1.755685e+00 6.624551e-01
8.458141e-03 4.409749e-02 1.676135e-02 2.699921e-02 9.556909e-03 3.817470e-01 3.649203e-01 8.800494e-02 1.959336e-01 4.116170e-01 2.204474e-02 2.165948e-02 4.907406e-02 1.572395e-01 8.931595e-01 3.069088e-01 2.469961e-03 2.160013e-01 5.945976e-02 8.958582e-01 2.339830e-01 3.270856e-01 1.168081e-01 3.060594e-01 9.366953e-01 3.416513e-01 5.113995e-01 6.824920e-01 2.810558e-01 2.135337e-01 3.458342e-01 5.133907e-01 2.666453e-01 8.256333e-01 7.701964e-01 8.968365e-01 4.476767e-02 5.246892e-01 4.797301e-01 4.660079e-01 3.589989e-01 3.800515e-01 2.933700e-01 2.214264e-01 4.025366e-01 1.896717e-01 3.662475e-01 3.425955e-01 4.918056e-01 2.805061e-01 2.309925e-01 3.475883e-01 1.330643e+00 7.633961e-01 1.149507e+00 1.220316e+00 5.911383e-01 7.094534e-03 6.446715e-03 8.953641e-03 8.151500e-03 4.177828e-03 6.731708e-03 2.033671e-01 2.062422e-01 2.150642e-07 9.584191e-09 9.044572e-09 3.249448e-10 9.049919e+00 1.244033e+01 1.119528e+00 1.162654e+00 7.794810e-01
